"com.kompasgramedia.myvalue - New user acquisitions (All events, Per interval, Daily) and All user loss (All events, Per interval, Daily), by Android Version for 2019-01-01 - 2019-09-22 and 2018-12-03 - 2019-08-24"
,,Metric,"New user acquisitions (All events, Per interval, Daily)","All user loss (All events, Per interval, Daily)",Notes
,,Dimension,All Android versions,All Android versions
Period,Date
2019-01-01 - 2019-09-22,2019-01-01,,436,166,Rollout of release - Started rollout of 0.3.8 at 100%
2019-01-01 - 2019-09-22,2019-01-02,,378,140
2019-01-01 - 2019-09-22,2019-01-03,,706,158
2019-01-01 - 2019-09-22,2019-01-04,,"1,025",207
2019-01-01 - 2019-09-22,2019-01-05,,733,223
2019-01-01 - 2019-09-22,2019-01-06,,479,231
2019-01-01 - 2019-09-22,2019-01-07,,327,181
2019-01-01 - 2019-09-22,2019-01-08,,283,182,Rollout of release - Started rollout of 0.3.9 at 100%
2019-01-01 - 2019-09-22,2019-01-09,,355,173
2019-01-01 - 2019-09-22,2019-01-10,,446,172
2019-01-01 - 2019-09-22,2019-01-11,,853,184
2019-01-01 - 2019-09-22,2019-01-12,,563,190
2019-01-01 - 2019-09-22,2019-01-13,,625,184
2019-01-01 - 2019-09-22,2019-01-14,,559,165
2019-01-01 - 2019-09-22,2019-01-15,,504,170,Rollout of release - Started rollout of 0.4.0 at 100%
2019-01-01 - 2019-09-22,2019-01-16,,"1,557",279
2019-01-01 - 2019-09-22,2019-01-17,,882,465
2019-01-01 - 2019-09-22,2019-01-18,,911,375
2019-01-01 - 2019-09-22,2019-01-19,,545,266
2019-01-01 - 2019-09-22,2019-01-20,,832,328
2019-01-01 - 2019-09-22,2019-01-21,,523,292
2019-01-01 - 2019-09-22,2019-01-22,,611,287
2019-01-01 - 2019-09-22,2019-01-23,,682,286
2019-01-01 - 2019-09-22,2019-01-24,,541,284
2019-01-01 - 2019-09-22,2019-01-25,,456,265
2019-01-01 - 2019-09-22,2019-01-26,,587,231
2019-01-01 - 2019-09-22,2019-01-27,,477,232
2019-01-01 - 2019-09-22,2019-01-28,,374,231
2019-01-01 - 2019-09-22,2019-01-29,,359,201
2019-01-01 - 2019-09-22,2019-01-30,,377,222,Rollout of release - Started rollout of 0.4.1 at 100%
2019-01-01 - 2019-09-22,2019-01-31,,"1,205",281
2019-01-01 - 2019-09-22,2019-02-01,,767,259
2019-01-01 - 2019-09-22,2019-02-02,,708,242
2019-01-01 - 2019-09-22,2019-02-03,,620,253
2019-01-01 - 2019-09-22,2019-02-04,,505,247
2019-01-01 - 2019-09-22,2019-02-05,,542,232
2019-01-01 - 2019-09-22,2019-02-06,,404,176
2019-01-01 - 2019-09-22,2019-02-07,,406,203
2019-01-01 - 2019-09-22,2019-02-08,,651,205
2019-01-01 - 2019-09-22,2019-02-09,,693,209
2019-01-01 - 2019-09-22,2019-02-10,,564,194
2019-01-01 - 2019-09-22,2019-02-11,,382,196
2019-01-01 - 2019-09-22,2019-02-12,,469,195
2019-01-01 - 2019-09-22,2019-02-13,,490,178
2019-01-01 - 2019-09-22,2019-02-14,,471,206,Rollout of release - Started rollout of 0.4.2 at 100%
