com.kompasgramedia.myvalue - Installs by user by Android Version for 2019-02-22 - 2019-02-28 and 2019-01-25 - 2019-01-31
,,Metric,Installs by user,Notes
,,Dimension,All Android versions
Period,Date
2019-02-22 - 2019-02-28,2019-02-22,,535
2019-02-22 - 2019-02-28,2019-02-23,,604
2019-02-22 - 2019-02-28,2019-02-24,,466
2019-02-22 - 2019-02-28,2019-02-25,,336
2019-02-22 - 2019-02-28,2019-02-26,,381,Rollout of release - Started rollout of 0.4.3 at 100%
2019-02-22 - 2019-02-28,2019-02-27,,342
2019-02-22 - 2019-02-28,2019-02-28,,302
2019-01-25 - 2019-01-31,2019-01-25,,456
2019-01-25 - 2019-01-31,2019-01-26,,587
2019-01-25 - 2019-01-31,2019-01-27,,477
2019-01-25 - 2019-01-31,2019-01-28,,374
2019-01-25 - 2019-01-31,2019-01-29,,359
2019-01-25 - 2019-01-31,2019-01-30,,377
2019-01-25 - 2019-01-31,2019-01-31,,"1,205"
