,new_user,user_loss,delta
2018-12-03,215,91,124
2018-12-04,213,71,142
2018-12-05,239,101,138
2018-12-06,388,105,283
2018-12-07,434,92,342
2018-12-08,391,152,239
2018-12-09,292,90,202
2018-12-10,355,128,227
2018-12-11,339,131,208
2018-12-12,325,133,192
2018-12-13,325,135,190
2018-12-14,403,135,268
2018-12-15,469,156,313
2018-12-16,415,117,298
2018-12-17,460,158,302
2018-12-18,665,181,484
2018-12-19,430,169,261
2018-12-20,469,167,302
2018-12-21,468,159,309
2018-12-22,456,143,313
2018-12-23,479,171,308
2018-12-24,450,149,301
2018-12-25,483,179,304
2018-12-26,471,197,274
2018-12-27,535,190,345
2018-12-28,492,204,288
2018-12-29,578,171,407
2018-12-30,561,175,386
2018-12-31,369,147,222
2019-01-01,436,166,270
2019-01-02,378,140,238
2019-01-03,706,158,548
2019-01-04,1025,207,818
2019-01-05,733,223,510
2019-01-06,479,231,248
2019-01-07,327,181,146
2019-01-08,283,182,101
2019-01-09,355,173,182
2019-01-10,446,172,274
2019-01-11,853,184,669
2019-01-12,563,190,373
2019-01-13,625,184,441
2019-01-14,559,165,394
2019-01-15,504,170,334
2019-01-16,1557,279,1278
2019-01-17,882,465,417
2019-01-18,911,375,536
2019-01-19,545,266,279
2019-01-20,832,328,504
2019-01-21,523,292,231
2019-01-22,611,287,324
2019-01-23,682,286,396
2019-01-24,541,284,257
2019-01-25,456,265,191
2019-01-26,587,231,356
2019-01-27,477,232,245
2019-01-28,374,231,143
2019-01-29,359,201,158
2019-01-30,377,222,155
2019-01-31,1205,281,924
2019-02-01,767,259,508
2019-02-02,708,242,466
2019-02-03,620,253,367
2019-02-04,505,247,258
2019-02-05,542,232,310
2019-02-06,404,176,228
2019-02-07,406,203,203
2019-02-08,651,205,446
2019-02-09,693,209,484
2019-02-10,564,194,370
2019-02-11,382,196,186
2019-02-12,469,195,274
2019-02-13,490,178,312
2019-02-14,471,206,265
2019-02-15,600,254,346
2019-02-16,903,315,588
2019-02-17,587,305,282
2019-02-18,351,208,143
2019-02-19,357,203,154
2019-02-20,319,204,115
2019-02-21,413,221,192
2019-02-22,535,207,328
2019-02-23,604,251,353
2019-02-24,466,192,274
2019-02-25,336,207,129
2019-02-26,382,187,195
2019-02-27,342,166,176
2019-02-28,302,204,98
2019-03-01,467,196,271
2019-03-02,680,211,469
2019-03-03,482,220,262
2019-03-04,357,191,166
2019-03-05,305,194,111
2019-03-06,401,220,181
2019-03-07,441,226,215
2019-03-08,365,181,184
2019-03-09,515,205,310
2019-03-10,484,190,294
2019-03-11,337,199,138
2019-03-12,353,204,149
2019-03-13,380,191,189
2019-03-14,365,199,166
2019-03-15,368,184,184
2019-03-16,511,228,283
2019-03-17,450,187,263
2019-03-18,383,240,143
2019-03-19,371,214,157
2019-03-20,503,273,230
2019-03-21,472,272,200
2019-03-22,418,219,199
2019-03-23,567,213,354
2019-03-24,427,221,206
2019-03-25,235,186,49
2019-03-26,701,392,309
2019-03-27,453,304,149
2019-03-28,516,336,180
2019-03-29,516,308,208
2019-03-30,964,357,607
2019-03-31,903,378,525
2019-04-01,559,304,255
2019-04-02,532,309,223
2019-04-03,599,294,305
2019-04-04,433,270,163
2019-04-05,478,274,204
2019-04-06,612,310,302
2019-04-07,819,409,410
2019-04-08,767,381,386
2019-04-09,615,374,241
2019-04-10,367,233,134
2019-04-11,381,266,115
2019-04-12,515,332,183
2019-04-13,554,303,251
2019-04-14,516,330,186
2019-04-15,464,290,174
2019-04-16,420,273,147
2019-04-17,635,366,269
2019-04-18,1046,368,678
2019-04-19,726,382,344
2019-04-20,681,330,351
