"com.kompasgramedia.myvalue - New user acquisitions (All events, Per interval, Daily) and All user loss (All events, Per interval, Daily), by Android Version for 2019-04-06 - 2019-10-02 and 2019-03-07 - 2019-09-02"
,,Metric,"New user acquisitions (All events, Per interval, Daily)","All user loss (All events, Per interval, Daily)",Notes
,,Dimension,All Android versions,All Android versions
Period,Date
2019-04-06 - 2019-10-02,2019-04-06,,612,310
2019-04-06 - 2019-10-02,2019-04-07,,819,409
2019-04-06 - 2019-10-02,2019-04-08,,767,381
2019-04-06 - 2019-10-02,2019-04-09,,615,374,Rollout of release - Started rollout of 0.5.3 at 100%
2019-04-06 - 2019-10-02,2019-04-10,,367,233
2019-04-06 - 2019-10-02,2019-04-11,,381,266
2019-04-06 - 2019-10-02,2019-04-12,,515,332
2019-04-06 - 2019-10-02,2019-04-13,,554,303
2019-04-06 - 2019-10-02,2019-04-14,,516,330
2019-04-06 - 2019-10-02,2019-04-15,,464,290
2019-04-06 - 2019-10-02,2019-04-16,,420,273
2019-04-06 - 2019-10-02,2019-04-17,,635,366
2019-04-06 - 2019-10-02,2019-04-18,,"1,046",368
2019-04-06 - 2019-10-02,2019-04-19,,726,382
2019-04-06 - 2019-10-02,2019-04-20,,681,330
2019-04-06 - 2019-10-02,2019-04-21,,648,379
2019-04-06 - 2019-10-02,2019-04-22,,589,324,Rollout of release - Started rollout of 0.5.4 at 100%
2019-04-06 - 2019-10-02,2019-04-23,,578,379
2019-04-06 - 2019-10-02,2019-04-24,,504,325
2019-04-06 - 2019-10-02,2019-04-25,,646,320
2019-04-06 - 2019-10-02,2019-04-26,,531,357
2019-04-06 - 2019-10-02,2019-04-27,,584,350
2019-04-06 - 2019-10-02,2019-04-28,,590,315
2019-04-06 - 2019-10-02,2019-04-29,,578,320
2019-04-06 - 2019-10-02,2019-04-30,,834,441
2019-04-06 - 2019-10-02,2019-05-01,,685,378
2019-04-06 - 2019-10-02,2019-05-02,,641,402
2019-04-06 - 2019-10-02,2019-05-03,,610,414
2019-04-06 - 2019-10-02,2019-05-04,,700,439
2019-04-06 - 2019-10-02,2019-05-05,,511,322
2019-04-06 - 2019-10-02,2019-05-06,,544,419,Rollout of release - Started rollout of 0.5.5 at 100%
2019-04-06 - 2019-10-02,2019-05-07,,367,268
2019-04-06 - 2019-10-02,2019-05-08,,527,424
2019-04-06 - 2019-10-02,2019-05-09,,452,365
2019-04-06 - 2019-10-02,2019-05-10,,543,417
2019-04-06 - 2019-10-02,2019-05-11,,593,358
2019-04-06 - 2019-10-02,2019-05-12,,590,367
2019-04-06 - 2019-10-02,2019-05-13,,534,389
2019-04-06 - 2019-10-02,2019-05-14,,507,398
2019-04-06 - 2019-10-02,2019-05-15,,537,375
2019-04-06 - 2019-10-02,2019-05-16,,387,291
2019-04-06 - 2019-10-02,2019-05-17,,684,503
2019-04-06 - 2019-10-02,2019-05-18,,558,350
2019-04-06 - 2019-10-02,2019-05-19,,636,464
2019-04-06 - 2019-10-02,2019-05-20,,478,374,Rollout of release - Started rollout of 0.5.6 at 100%
2019-04-06 - 2019-10-02,2019-05-21,,442,379
2019-04-06 - 2019-10-02,2019-05-22,,501,553
2019-04-06 - 2019-10-02,2019-05-23,,657,526
2019-04-06 - 2019-10-02,2019-05-24,,481,418
2019-04-06 - 2019-10-02,2019-05-25,,501,263
2019-04-06 - 2019-10-02,2019-05-26,,456,273
2019-04-06 - 2019-10-02,2019-05-27,,284,200
2019-04-06 - 2019-10-02,2019-05-28,,267,247
2019-04-06 - 2019-10-02,2019-05-29,,364,250
2019-04-06 - 2019-10-02,2019-05-30,,397,229
2019-04-06 - 2019-10-02,2019-05-31,,374,258
2019-04-06 - 2019-10-02,2019-06-01,,531,231
2019-04-06 - 2019-10-02,2019-06-02,,559,242
2019-04-06 - 2019-10-02,2019-06-03,,482,258
2019-04-06 - 2019-10-02,2019-06-04,,291,213
2019-04-06 - 2019-10-02,2019-06-05,,406,233
2019-04-06 - 2019-10-02,2019-06-06,,620,254
2019-04-06 - 2019-10-02,2019-06-07,,779,288
2019-04-06 - 2019-10-02,2019-06-08,,"1,113",278
2019-04-06 - 2019-10-02,2019-06-09,,"1,177",335
2019-04-06 - 2019-10-02,2019-06-10,,"1,048",377
2019-04-06 - 2019-10-02,2019-06-11,,"1,023",361
2019-04-06 - 2019-10-02,2019-06-12,,"1,007",359
2019-04-06 - 2019-10-02,2019-06-13,,846,398
2019-04-06 - 2019-10-02,2019-06-14,,890,341
2019-04-06 - 2019-10-02,2019-06-15,,"1,288",386
2019-04-06 - 2019-10-02,2019-06-16,,"1,215",410
2019-04-06 - 2019-10-02,2019-06-17,,842,377,Rollout of release - Started rollout of 0.5.7 at 100%
2019-04-06 - 2019-10-02,2019-06-18,,819,335
2019-04-06 - 2019-10-02,2019-06-19,,782,333
2019-04-06 - 2019-10-02,2019-06-20,,802,383
2019-04-06 - 2019-10-02,2019-06-21,,793,326
2019-04-06 - 2019-10-02,2019-06-22,,"1,003",369
2019-04-06 - 2019-10-02,2019-06-23,,925,396
2019-04-06 - 2019-10-02,2019-06-24,,776,391
2019-04-06 - 2019-10-02,2019-06-25,,778,365
2019-04-06 - 2019-10-02,2019-06-26,,773,380
2019-04-06 - 2019-10-02,2019-06-27,,945,490
2019-04-06 - 2019-10-02,2019-06-28,,984,469
2019-04-06 - 2019-10-02,2019-06-29,,"1,201",471
2019-04-06 - 2019-10-02,2019-06-30,,"1,111",404
2019-04-06 - 2019-10-02,2019-07-01,,837,459
2019-04-06 - 2019-10-02,2019-07-02,,"1,014",435
2019-04-06 - 2019-10-02,2019-07-03,,980,426
2019-04-06 - 2019-10-02,2019-07-04,,880,388
2019-04-06 - 2019-10-02,2019-07-05,,"1,063",455
2019-04-06 - 2019-10-02,2019-07-06,,"1,319",433
2019-04-06 - 2019-10-02,2019-07-07,,"1,307",532
2019-04-06 - 2019-10-02,2019-07-08,,"1,082",457
2019-04-06 - 2019-10-02,2019-07-09,,"1,095",462
2019-04-06 - 2019-10-02,2019-07-10,,"1,149",501
2019-04-06 - 2019-10-02,2019-07-11,,"1,185",494
2019-04-06 - 2019-10-02,2019-07-12,,"1,203",452
2019-04-06 - 2019-10-02,2019-07-13,,"1,426",458
2019-04-06 - 2019-10-02,2019-07-14,,"1,118",446
2019-04-06 - 2019-10-02,2019-07-15,,837,448
2019-04-06 - 2019-10-02,2019-07-16,,"1,094",530
2019-04-06 - 2019-10-02,2019-07-17,,"1,014",465
2019-04-06 - 2019-10-02,2019-07-18,,"1,061",586
2019-04-06 - 2019-10-02,2019-07-19,,"1,055",493
2019-04-06 - 2019-10-02,2019-07-20,,"1,412",510
2019-04-06 - 2019-10-02,2019-07-21,,"1,200",471
2019-04-06 - 2019-10-02,2019-07-22,,889,445
2019-04-06 - 2019-10-02,2019-07-23,,922,504
2019-04-06 - 2019-10-02,2019-07-24,,897,471
2019-04-06 - 2019-10-02,2019-07-25,,813,436
2019-04-06 - 2019-10-02,2019-07-26,,"1,303",611
2019-04-06 - 2019-10-02,2019-07-27,,"1,222",466
2019-04-06 - 2019-10-02,2019-07-28,,"1,140",546
2019-04-06 - 2019-10-02,2019-07-29,,987,588,Metric update - Acquisition and Loss metrics by User and Device were updated to be more accurate.
2019-04-06 - 2019-10-02,2019-07-30,,914,572
2019-04-06 - 2019-10-02,2019-07-31,,983,717
2019-04-06 - 2019-10-02,2019-08-01,,"1,299",649
2019-04-06 - 2019-10-02,2019-08-02,,"1,662",714
2019-04-06 - 2019-10-02,2019-08-03,,"1,931",791
